Reference,Latitude,Longitude,Date_BP,SE,Chronoculture,Associated_lithics,Country,Site name,Associated.publications,NOTES
Gif-5220,-1.333,15.533,2960,100,LSA,0,ROC,Abala,Delibes et al. 1983; Kouyoumontzakis u.a. 1985: 21,
Gif-5698,-1.028,15.359,2660,100,LSA,0,ROC,Boundji,Delibes et al. 1983; Kouyoumontzakis u.a. 1985: 22,
Gif-5696,-1.833,15.833,3190,100,LSA,0,ROC,Gamboma,Delibes et al. 1983; Kouyoumontzakis u.a. 1985: 21,
Gif-5221,-1.833,15.833,3540,100,LSA,0,ROC,Gamboma,Delibes et al. 1983; Kouyoumontzakis u.a. 1985: 21,
L-349A,-1.695,29.257,12450,350,LSA,0,Rwanda,Gisenyi,van Noten 1982,
Beta-59106,1.34,28.51,3020,100,LSA,0,DRC,Ituri,Hart et al. 1996 bookchapter,
L-349B,-1.601,29.028,14000,600,LSA,0,DRC,Kirotshe,van Noten 1982,
Gif-4545,-2.917,14.633,3660,100,LSA,0,ROC,Mouambe,Delibes et al. 1983; Kouyoumontzakis u.a. 1985: 19,
Gif-5218,-0.5,15.917,33800,800,MSA,0,ROC,Owando,Kouyoumontzakis u.a. 1985,
Gif-5701,-1.117,15.95,31000,2200,MSA,0,ROC,Oyo,Kouyoumontzakis u.a. 1985,
Gif-6427,-1.7,13.63,3250,80,LSA,0,Gabon,Plateau de Mpassa,Clist 2004/2005: Annex 2,
Hv-10586,6.11,10.42,5565,120,LSA,1,DRC,Abeke,"De Maret, 1992",
Beta-169187,2.4,10.05,3650,70,LSA,1,Cameroon,Akok begnat 2,"Oslisly and MindziŽ, 2001",
Beta-169186,2.396,10.071,1070,60,Stone Age,1,Cameroon,Akok Benyat 2,Oslisly et al. 2013; Nlend Nlend 2013/2014: 48; Eggert/Seidensticker 2016:77 Tab. 4.2,
Beta-169187,2.396,10.071,3650,70,LSA,1,Cameroon,Akok Benyat 2,Oslisly et al. 2013; Nlend Nlend 2013/2014: 48; Eggert/Seidensticker 2016:77 Tab. 4.2,
Lv-46,-4.28,15.28,2980,160,LSA,1,DRC,Amba,de Maret et al. 1977: 491; van Noten 1982,
Gif-5435,-4.2833,15.2667,6899,160,LSA,1,DRC,Bacongo,"de Maret, 1985a",
Lv-287,-4.549,15.151,12230,250,Lupemban,1,DRC,Basoko,Cahen/Moeyersons 1977: 813 Tab. 1; van Noten 1982; Cahen et al. 1983: 447 Tab. 2,
