Reference code,Latitude,Longitude,"Date ""Before Present""",Standard error,Chronocultural attribution,Associated materials,Country,Site name,Associated publications,Clear LSA,Associated Lithics
OBDY-1531,6.1333,15.3333,30,40,Recent Iron Age,", Coal",CAR,"Gbavian, Site 99","1999 - Société préhistoriques et mégalithes dans le nord-ouest de la République Centrafricaine - British Archaeological Reports 768, Cambridge Monographs in African Archaeology 46. Archeopress, Oxford.",NA,NA
OBDY-1542,6.1333,15.3333,100,40,Recent Iron Age,", Coal",CAR,"Gbavian, Site 99","1999 - Société préhistoriques et mégalithes dans le nord-ouest de la République Centrafricaine - British Archaeological Reports 768, Cambridge Monographs in African Archaeology 46. Archeopress, Oxford.",NA,NA
Beta-245120,3.9956,9.8192,120,50,Recent Iron Age,", Coal",Cameroon,Dibamba Yassa,"2008 - Etude Archéologique du site de Dibamba., Rapport final KPDC/AES Sonel",NA,NA
Beta-18732,-1.5,9.4986,130,80,Recent Iron Age,", Coal",Gabon,Ikengué 1,"1995 - Gabon : 100 000 ans d'Histoire - Centre Culturel Français Saint-Exupery, éd. Sépia.",NA,NA
Gif-9287,6.1333,15.3333,130,40,Recent Iron Age,", Coal",CAR,"Balimbé, Site 68","1999 - Société préhistoriques et mégalithes dans le nord-ouest de la République Centrafricaine - British Archaeological Reports 768, Cambridge Monographs in African Archaeology 46. Archeopress, Oxford.",NA,NA
OBDY-588,6.1333,15.3333,170,70,Recent Iron Age,", Coal",CAR,"Mbili 1, Site 55","1999 - Société préhistoriques et mégalithes dans le nord-ouest de la République Centrafricaine - British Archaeological Reports 768, Cambridge Monographs in African Archaeology 46. Archeopress, Oxford.",NA,NA
OBDY-358,6.1333,15.3333,180,110,Recent Iron Age,", Coal",CAR,"B-Kpogbèrè, Site 57","1999 - Société préhistoriques et mégalithes dans le nord-ouest de la République Centrafricaine - British Archaeological Reports 768, Cambridge Monographs in African Archaeology 46. Archeopress, Oxford.",NA,NA
Si-2676,6.1333,15.3333,190,90,Recent Iron Age,", Coal",CAR,Bétumé,"1982 - Tazunu: megalitic monuments of Central Africa - Azania, 71: 44-77.",NA,NA
Gif-5211,6.35,15.98,220,80,Recent Iron Age,", Coal",CAR,Toala,"1983 - Le site archéologique de l'île de Toala sur le haut Ouham (République centrafricaine) Néolithique et âge du fer - L'Anthropologie, 407, 1: 113-133.",NA,NA
LY-5947,8.3833,22.7167,220,50,Recent Iron Age,", Coal",CAR,Ogrotoulou,"2008 - La métallurgie du fer en Centrafrique : premiers éléments de synthèse - Revue Centrafricaine d'Anthropologie, 1",NA,NA
P-1744,9.18,13.42,258,39,Recent Iron Age,", Coal",Cameroon,Be,"1981 - The archaeological background of Cameroonian history - in: Tardit C. (ed.), Contribution de la recherche ethnologique à l'histoire des civilisations du Cameroun, Colloque du CNRS, 79-98",NA,NA
Gif-4220,-4.25,13.7667,270,80,Recent Iron Age,", Coal",Congo,Ntadi Yomba,"1982 - New Survey of Archaeological Research and Dates for West-Central and North-Central Africa - The Journal of African History, 23: 1-15.",NA,NA
P-1750,9.18,13.42,275,53,Recent Iron Age,", Coal",Cameroon,Be,"1981 - The archaeological background of Cameroonian history - in: Tardit C. (ed.), Contribution de la recherche ethnologique à l'histoire des civilisations du Cameroun, Colloque du CNRS, 79-98",NA,NA
Gif-4221,-4.25,13.7667,300,80,Recent Iron Age,", Coal",Congo,Ntadi Yomba,"1982 - New Survey of Archaeological Research and Dates for West-Central and North-Central Africa - The Journal of African History, 23: 1-15.",NA,NA
P-1637,9.21,13.31,346,51,Recent Iron Age,", Coal",Cameroon,Sumpa,"1981 - The archaeological background of Cameroonian history - in: Tardit C. (ed.), Contribution de la recherche ethnologique à l'histoire des civilisations du Cameroun, Colloque du CNRS, 79-98",NA,NA
P-1635,9.21,13.31,347,41,Recent Iron Age,", Coal",Cameroon,Sumpa,"1981 - The archaeological background of Cameroonian history - in: Tardit C. (ed.), Contribution de la recherche ethnologique à l'histoire des civilisations du Cameroun, Colloque du CNRS, 79-98",NA,NA
Gif-5210,6.3,15.9,350,80,Recent Iron Age,", Coal",CAR,Ko Bi Doé,"1983 - Le site archéologique de l'île de Toala sur le haut Ouham (République centrafricaine) Néolithique et âge du fer - L'Anthropologie, 407, 1: 113-133.",NA,NA
Gif-4219,-4.25,13.7667,370,80,Recent Iron Age,", Coal",Congo,Ntadi Yomba,"1982 - New Survey of Archaeological Research and Dates for West-Central and North-Central Africa - The Journal of African History, 23: 1-15.",NA,NA
Gif-9288,6.1333,15.3333,380,50,Recent Iron Age,", Coal",CAR,"Ololo, Site 60","1991 - Etude du megalithisme dans le Nord-Ouest de la république centrafricaine. - Thèse de doctorat des Universités, Université de Paris X - Nanterre, 2 tomes.",NA,NA
Gif-5668,6.35,15.98,390,70,Recent Iron Age,", Coal",CAR,Toala,"1983 - Le site archéologique de l'île de Toala sur le haut Ouham (République centrafricaine) Néolithique et âge du fer - L'Anthropologie, 407, 1: 113-133.",NA,NA
OBDY-594,6.1333,15.3333,400,160,Recent Iron Age,", Coal",CAR,"Dokoko, Site 22","1999 - Société préhistoriques et mégalithes dans le nord-ouest de la République Centrafricaine - British Archaeological Reports 768, Cambridge Monographs in African Archaeology 46. Archeopress, Oxford.",NA,NA
Gif-5212,6.35,15.98,410,100,Recent Iron Age,", Coal",CAR,Toala,"1983 - Le site archéologique de l'île de Toala sur le haut Ouham (République centrafricaine) Néolithique et âge du fer - L'Anthropologie, 407, 1: 113-133.",NA,NA
P-1557,9.18,13.42,410,36,Recent Iron Age,", Coal",Cameroon,Be,"1981 - The archaeological background of Cameroonian history - in: Tardit C. (ed.), Contribution de la recherche ethnologique à l'histoire des civilisations du Cameroun, Colloque du CNRS, 79-98",NA,NA
