Latitude,Longitude,Date_BP,SE,Date_1000,Chronoculture,Associated_lithics,Assoc_pottery?,Country,Site name
-1.333,15.533,2960,100,3000,LSA,0,0,ROC,Abala
6.11,10.42,5565,120,6000,LSA,1,0,DRC,Abeke
2.4,10.05,3650,70,4000,LSA,1,0,Cameroon,Akok Benyat 1
2.396,10.071,1070,60,1000,Stone Age,1,0,Cameroon,Akok Benyat 2
-4.2833,15.2667,6899,160,7000,LSA,1,0,DRC,Bacongo
-4.21,15.17,12230,250,12000,LSA,1,0,DRC,Basoko
-4.53,15.151,15080,480,15000,Lupemban,1,0,DRC,Belgika
2.998,10.021,2550,60,3000,LSA,1,1,Cameroon,Bissiang
-3.5,14.3,4030,200,4000,LSA,1,0,ROC,Bitorri
-1.028,15.359,2660,100,3000,LSA,0,0,ROC,Boundji
-1,15.5167,18100,400,18000,Lupemban,1,0,ROC,Boundji
-4.113,15.12,7690,70,8000,LSA,1,0,ROC,Case Barnier II
-5.2833,14.8667,8120,460,8000,LSA,1,0,DRC,Dimba
-5.2833,14.8667,20000,650,20000,Lupemban,1,0,DRC,Dimba
-3.55,14.55,2680,50,3000,LSA,1,0,Gabon,Galintsoa
-1.833,15.833,3190,100,3000,LSA,0,0,ROC,Gamboma
-1.833,15.833,3540,100,4000,LSA,0,0,ROC,Gamboma
-4.13,15.9,11500,160,12000,LSA,1,0,ROC,Gangalingolo
-1.695,29.257,12450,350,12000,LSA,0,0,Rwanda,Gisenyi
-4.2833,15.2667,7830,50,8000,LSA,1,0,DRC,Gombe
-4.2833,15.2667,9675,40,10000,LSA,1,0,DRC,Gombe
-4.2833,15.2667,11450,60,11000,LSA,1,0,DRC,Gombe
-4.2833,15.2667,11880,120,12000,LSA,1,0,DRC,Gombe
-4.2833,15.2667,36400,580,36000,Lupemban,1,0,RDC,Gombe
-4.2833,15.2667,37450,650,37000,Lupemban,1,0,RDC,Gombe
-4.2833,15.2667,46500,1500,47000,Lupemban,1,0,RDC,Gombe
-4.34,11.65,2950,80,3000,LSA,1,0,ROC,Gray sand
-0.484,12.451,3900,70,4000,LSA,1,0,Gabon,Grotte Paouan
-0.4842,12.4515,5570,70,6000,LSA,1,0,Gabon,Grotte Paouan 1
-4.7,11.95,19900,700,20000,Lupemban,1,0,ROC,Hinda
-1.92,9.32,6300,60,6000,LSA,1,0,Gabon,Iguela 
-1.9167,9.3167,3680,60,4000,LSA,1,0,Gabon,Iguela 2
-1.5,9.4986,3850,90,4000,LSA,1,0,Gabon,Ikengue 1
-1.5,9.4986,4830,290,5000,LSA,1,0,Gabon,Ikengue 1
-1.5,9.499,2550,120,3000,LSA,1,0,Gabon,Ikengue 1
-0.822,19.788,2860,2860,3000,LSA,0,1,DRC,Imbonga
-0.822,19.788,3775,105,4000,LSA,0,1,DRC,Imbonga
2.118,28.573,10015,55,10000,LSA,1,0,DRC,Isak Baite SW
-0.4,29.3,19870,240,20000,LSA,1,0,DRC,Ishango 11
-0.4,29.3,21000,500,21000,LSA,1,0,DRC,Ishango 11
-0.4,29.3,23760,385,24000,LSA,1,0,DRC,Ishango 11
-0.4,29.3,20610,530,21000,LSA,1,0,DRC,Ishango 14 
1.34,28.51,3020,100,3000,LSA,0,0,DRC,Ituri
-10.24,25.09,3840,140,4000,LSA,1,0,DRC,Kamoa
-10,25.49,6025,70,6000,Stone Age,1,0,DRC,Kamoa
-4.2038,15.1245,9730,200,10000,LSA,1,0,DRC,Kinhasa Plain
-4.2038,15.1245,3870,90,4000,LSA,1,0,DRC,Kinsuka
-1.601,29.028,14000,600,14000,LSA,0,0,DRC,Kirotshe
-4.4142,15.3308,6280,130,6000,LSA,1,1,DRC,Kizenzu
-5.77,14.8,2985,95,3000,LSA,1,1,DRC,Kwimba
-2.2333,11.3333,5530,230,6000,LSA,1,0,Gabon,Lac Noir De Ndende
-2.2333,11.3333,7760,120,8000,LSA,1,0,Gabon,Lac Noir De Ndende
-0.1333,16.166,5720,110,6000,Stone Age,1,0,Gabon,Leledi 10
1.532,28.208,2790,70,3000,LSA,1,0,ROC,Lengbe
-0.2186,11.5875,6760,120,7000,LSA,1,0,Gabon,Lope 2
-0.2186,11.5875,7670,80,8000,LSA,1,0,Gabon,Lope 2
-0.2186,11.5875,9170,100,9000,LSA,1,0,Gabon,Lope 2
-0.2186,11.5875,10320,110,10000,LSA,1,0,Gabon,Lope 2
-4.85,14.49,13600,400,14000,LSA,1,0,ROC,Loukoko II
-0.0837,11.3134,40010,850,40000,Lupemban,1,0,Gabon,Maboue 5
1.737,28.811,1080,41,1000,LSA,1,0,DRC,Makubasi NW o.
1.737,28.811,18800,100,19000,LSA,1,0,DRC,Makubasi SE
-1.2653,10.6167,3890,140,4000,LSA,1,0,Gabon,Mandilou 2
2.118,28.573,715,45,1000,LSA,1,0,DRC,Matangai T.NW
0.1,29.44,16740,150,17000,LSA,1,0,DRC,Matupi
0.1,29.44,21210,400,21000,LSA,1,0,DRC,Matupi
0.1,29.44,33000,1900,33000,LSA,1,0,DRC,Matupi
6.0502,10.2035,9050,100,9000,LSA,1,0,Cameroon,Mbi Crater
6.0502,10.2035,18730,690,19000,Unspecified,1,0,Cameroon,Mbi Crater
-2.917,14.633,3660,100,4000,LSA,0,0,ROC,Mouambe
-3.9392,13.7172,6600,130,7000,LSA,1,0,ROC,Moussanda
4.975,15.7,2351,28,2000,LSA,1,1,CAR,Nangara-Komba
4.975,15.7,2830,26,3000,LSA,1,1,CAR,Nangara-Komba
4.975,15.7,4963,28,5000,LSA,1,0,CAR,Nangara-Komba
4.975,15.7,5750,31,6000,LSA,1,0,CAR,Nangara-Komba
-2.2333,11.3333,7180,220,7000,LSA,1,0,Gabon,Ndende
6.13,15.33,3010,220,3000,LSA,1,0,CAR,Ndio
6.13,15.33,3530,100,4000,LSA,1,0,CAR,Ndio
3.0631,10.2189,5490,70,5000,LSA,1,0,Cameroon,Ndtoua (Eca 068)
-5.0407,15.014,9470,50,9000,Stone Age,0,0,DRC,Ngongo Mbata
5.3092,9.7272,8930,40,9000,LSA,1,0,Cameroon,Njuinye
5.3092,9.7272,17800,180,18000,LSA,1,0,Cameroon,Njuinye
-4.25,13.7667,1990,90,2000,LSA,1,0,ROC,Ntadi Yomba
-4.25,13.7667,6890,160,7000,LSA,1,0,ROC,Ntadi Yomba
-3.33,15.124,3700,90,4000,LSA,1,0,ROC,Ntsimou
0.5333,9.35,6190,80,6000,LSA,1,0,Gabon,Nzogobeyok
3.8167,11.5,3265,165,3000,LSA,1,1,Cameroon,Obobogo
3.8167,11.5,6020,505,6000,LSA,1,1,Cameroon,Obobogo
0.4906,9.4125,5580,60,6000,LSA,1,0,Gabon,Okala 1
0.4906,9.4125,39690,670,40000,Stone Age,1,0,Gabon,Okala 1
-0.12,11.55,4500,50,5000,LSA,1,0,Gabon,Okanda 5
-4.2667,15.2333,7400,110,7000,LSA,1,0,ROC,Orstom
-0.587,11.533,2200,40,2000,LSA,1,0,Gabon,Oumoundo 4
-0.5,15.917,33800,800,34000,MSA,0,0,ROC,Owando
0.3333,9.4667,5040,130,5000,LSA,1,0,Gabon,Owendo
-1.117,15.95,31000,2200,31000,MSA,0,0,ROC,Oyo
-1.7,13.63,3250,80,3000,LSA,0,0,Gabon,Plateau de Mpassa
-4.2833,15.2667,4580,110,5000,LSA,1,0,ROC,Pointe Bacongo
-4.75,11.85,3860,130,4000,LSA,1,0,ROC,Pointe Noire
